approach,cpu,batchsize,true_negative,false_negative,true_positive,false_positive,precision,recall,accuracy,f1_score,outlier_threshold,wallclock_time_seconds
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,43,482,1,2,19,0.09523809523809523,0.6666666666666666,0.9603174603174603,0.16666666666666666,-130.67940368652344,54.09
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,185,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.8128662109375,17.23
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,16,485,1,2,16,0.1111111111111111,0.6666666666666666,0.9662698412698413,0.1904761904761905,-128.47976989746093,2.09
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,112,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-137.14825439453125,25.76
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,110,480,3,0,21,0.0,0.0,0.9523809523809523,0.0,-137.33949279785156,26.89
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,167,483,0,3,18,0.14285714285714285,1.0,0.9642857142857143,0.25,-122.44807205200196,17.28
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,97,477,3,0,24,0.0,0.0,0.9464285714285714,0.0,-133.87254333496094,26.72
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,28,486,1,2,15,0.11764705882352941,0.6666666666666666,0.9682539682539683,0.2,-128.79189758300782,2.85
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,215,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-141.08560180664062,40.72
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,56,480,2,1,21,0.045454545454545456,0.3333333333333333,0.9543650793650794,0.08,-132.66920471191406,46.03
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,189,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.69459533691406,16.90
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,46,483,1,2,18,0.1,0.6666666666666666,0.9623015873015873,0.1739130434782609,-131.39984588623048,54.46
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,242,486,3,0,15,0.0,0.0,0.9642857142857143,0.0,-133.41671295166017,36.60
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,194,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.32730102539062,17.44
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,141,482,3,0,19,0.0,0.0,0.9563492063492064,0.0,-139.36407012939455,21.83
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,15,486,0,3,15,0.16666666666666666,1.0,0.9702380952380952,0.2857142857142857,-127.80102844238282,2.81
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,54,484,1,2,17,0.10526315789473684,0.6666666666666666,0.9642857142857143,0.18181818181818182,-131.1477844238281,45.66
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,129,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-139.8797149658203,22.33
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,98,485,3,0,16,0.0,0.0,0.9623015873015873,0.0,-132.42129516601562,27.02
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,175,479,3,0,22,0.0,0.0,0.9503968253968254,0.0,-142.97900390625,16.85
