approach,cpu,epochs,true_negative,false_negative,true_positive,false_positive,precision,recall,accuracy,f1_score,outlier_threshold,wallclock_time_seconds
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,0,472,3,0,29,0.0,0.0,0.9365079365079365,0.0,-17.697958855151864,104.67
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,9,488,0,3,13,0.1875,1.0,0.9742063492063492,0.3157894736842105,-38.3239113095124,752.91
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,29,482,0,3,19,0.13636363636363635,1.0,0.9623015873015873,0.24000000000000002,-39.75697623108712,2695.29
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,25,482,0,3,19,0.13636363636363635,1.0,0.9623015873015873,0.24000000000000002,-39.551326555124895,2461.73
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,27,482,0,3,19,0.13636363636363635,1.0,0.9623015873015873,0.24000000000000002,-39.58122541473953,2607.89
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,16,491,0,3,10,0.23076923076923078,1.0,0.9801587301587301,0.375,-38.36028719842105,1548.74
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,19,488,0,3,13,0.1875,1.0,0.9742063492063492,0.3157894736842105,-38.76180183225601,1740.78
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,24,483,0,3,18,0.14285714285714285,1.0,0.9642857142857143,0.25,-39.42839788670199,2402.55
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,2,487,2,1,14,0.06666666666666667,0.3333333333333333,0.9682539682539683,0.1111111111111111,-32.57920402769665,277.60
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,3,486,1,2,15,0.11764705882352941,0.6666666666666666,0.9682539682539683,0.2,-34.80743138064877,352.95
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,17,490,0,3,11,0.21428571428571427,1.0,0.9781746031746031,0.35294117647058826,-38.44003368049796,1622.31
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,26,483,0,3,18,0.14285714285714285,1.0,0.9642857142857143,0.25,-39.51374340144235,2542.72
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,20,485,0,3,16,0.15789473684210525,1.0,0.9682539682539683,0.2727272727272727,-38.906727109110136,2080.93
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,13,490,0,3,11,0.21428571428571427,1.0,0.9781746031746031,0.35294117647058826,-38.29535039799717,1330.00
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,11,489,0,3,12,0.2,1.0,0.9761904761904762,0.33333333333333337,-38.31065218924072,1176.79
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,5,488,1,2,13,0.13333333333333333,0.6666666666666666,0.9722222222222222,0.2222222222222222,-36.96521917584059,514.81
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,8,488,0,3,13,0.1875,1.0,0.9742063492063492,0.3157894736842105,-38.16345148263538,690.00
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,14,491,0,3,10,0.23076923076923078,1.0,0.9801587301587301,0.375,-38.252856282868144,1409.03
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,23,483,0,3,18,0.14285714285714285,1.0,0.9642857142857143,0.25,-39.277006220035304,2311.15
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,10,488,0,3,13,0.1875,1.0,0.9742063492063492,0.3157894736842105,-38.416241309512436,1080.19
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,18,488,0,3,13,0.1875,1.0,0.9742063492063492,0.3157894736842105,-38.61529154141274,1685.05
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,21,484,0,3,17,0.15,1.0,0.9662698412698413,0.2608695652173913,-39.03507710907442,2161.67
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,4,490,1,2,11,0.15384615384615385,0.6666666666666666,0.9761904761904762,0.25,-36.29428032623696,428.69
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,15,490,0,3,11,0.21428571428571427,1.0,0.9781746031746031,0.35294117647058826,-38.39075683992316,1484.81
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,12,489,0,3,12,0.2,1.0,0.9761904761904762,0.33333333333333337,-38.34889408661502,1256.13
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,6,493,1,2,8,0.2,0.6666666666666666,0.9821428571428571,0.30769230769230765,-37.2661467596229,572.99
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,28,482,0,3,19,0.13636363636363635,1.0,0.9623015873015873,0.24000000000000002,-39.63980286480945,2667.90
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,1,476,2,1,25,0.038461538461538464,0.3333333333333333,0.9464285714285714,0.06896551724137931,-27.379172546390983,189.77
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,7,490,0,3,11,0.21428571428571427,1.0,0.9781746031746031,0.35294117647058826,-37.95750422218046,631.71
quantum,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,22,484,0,3,17,0.15,1.0,0.9662698412698413,0.2608695652173913,-39.15920622005132,2256.27
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,9,486,0,3,15,0.16666666666666666,1.0,0.9702380952380952,0.2857142857142857,-128.60181121826173,1.73
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,29,485,0,3,16,0.15789473684210525,1.0,0.9682539682539683,0.2727272727272727,-128.796728515625,1.88
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,25,484,0,3,17,0.15,1.0,0.9662698412698413,0.2608695652173913,-127.7087173461914,2.43
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,27,484,0,3,17,0.15,1.0,0.9662698412698413,0.2608695652173913,-128.16897430419922,1.86
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,16,481,0,3,20,0.13043478260869565,1.0,0.9603174603174603,0.23076923076923078,-128.84039306640625,1.71
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,19,483,0,3,18,0.14285714285714285,1.0,0.9642857142857143,0.25,-128.04914093017578,1.55
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,24,482,0,3,19,0.13636363636363635,1.0,0.9623015873015873,0.24000000000000002,-128.19615173339844,2.25
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,2,480,3,0,21,0.0,0.0,0.9523809523809523,0.0,-133.2267059326172,1.59
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,3,482,1,2,19,0.09523809523809523,0.6666666666666666,0.9603174603174603,0.16666666666666666,-130.38007202148438,1.84
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,17,485,0,3,16,0.15789473684210525,1.0,0.9682539682539683,0.2727272727272727,-128.51099548339843,1.67
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,26,486,0,3,15,0.16666666666666666,1.0,0.9702380952380952,0.2857142857142857,-128.1900634765625,2.55
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,20,485,0,3,16,0.15789473684210525,1.0,0.9682539682539683,0.2727272727272727,-127.65802764892578,2.12
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,13,489,0,3,12,0.2,1.0,0.9761904761904762,0.33333333333333337,-128.3037322998047,2.15
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,11,486,0,3,15,0.16666666666666666,1.0,0.9702380952380952,0.2857142857142857,-127.883642578125,2.12
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,5,485,1,2,16,0.1111111111111111,0.6666666666666666,0.9662698412698413,0.1904761904761905,-128.23836364746094,1.75
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,8,484,0,3,17,0.15,1.0,0.9662698412698413,0.2608695652173913,-128.9862487792969,1.98
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,14,487,0,3,14,0.17647058823529413,1.0,0.9722222222222222,0.3,-128.35203552246094,1.98
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,23,485,0,3,16,0.15789473684210525,1.0,0.9682539682539683,0.2727272727272727,-128.3313003540039,2.22
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,10,487,0,3,14,0.17647058823529413,1.0,0.9722222222222222,0.3,-128.01171264648437,2.12
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,18,485,0,3,16,0.15789473684210525,1.0,0.9682539682539683,0.2727272727272727,-127.64689865112305,2.02
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,21,486,0,3,15,0.16666666666666666,1.0,0.9702380952380952,0.2857142857142857,-128.0312484741211,2.46
