approach,cpu,hidden_units,true_negative,false_negative,true_positive,false_positive,precision,recall,accuracy,f1_score,outlier_threshold,wallclock_time_seconds
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,607,466,2,1,35,0.027777777777777776,0.3333333333333333,0.9265873015873016,0.05128205128205128,-489.6827087402344,5.27
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,439,476,3,0,25,0.0,0.0,0.9444444444444444,0.0,-340.9796142578125,3.82
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,429,482,2,1,19,0.05,0.3333333333333333,0.9583333333333334,0.08695652173913045,-337.0848022460938,2.66
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,232,471,0,3,30,0.09090909090909091,1.0,0.9404761904761905,0.16666666666666669,-192.9264175415039,2.07
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,164,474,0,3,27,0.1,1.0,0.9464285714285714,0.18181818181818182,-134.35060272216796,2.22
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,383,474,2,1,27,0.03571428571428571,0.3333333333333333,0.9424603174603174,0.06451612903225806,-297.8570159912109,3.27
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,349,471,3,0,30,0.0,0.0,0.9345238095238095,0.0,-282.88697814941406,2.54
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,158,476,0,3,25,0.10714285714285714,1.0,0.9503968253968254,0.19354838709677416,-131.8261505126953,2.24
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,136,480,0,3,21,0.125,1.0,0.9583333333333334,0.2222222222222222,-115.33810272216797,2.39
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,485,475,2,1,26,0.037037037037037035,0.3333333333333333,0.9444444444444444,0.06666666666666667,-399.8974914550781,4.34
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,41,475,2,1,26,0.037037037037037035,0.3333333333333333,0.9444444444444444,0.06666666666666667,-39.73201370239258,1.16
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,441,477,1,2,24,0.07692307692307693,0.6666666666666666,0.9503968253968254,0.13793103448275862,-339.3026824951172,3.00
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,565,477,3,0,24,0.0,0.0,0.9464285714285714,0.0,-454.85577392578125,4.66
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,499,469,1,2,32,0.058823529411764705,0.6666666666666666,0.9345238095238095,0.10810810810810811,-392.26690673828125,3.92
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,563,469,3,0,32,0.0,0.0,0.9305555555555556,0.0,-458.1147735595703,4.67
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,426,473,3,0,28,0.0,0.0,0.9384920634920635,0.0,-337.99498291015624,3.80
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,305,474,1,2,27,0.06896551724137931,0.6666666666666666,0.9444444444444444,0.125,-243.97569274902344,2.04
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,146,477,0,3,24,0.1111111111111111,1.0,0.9523809523809523,0.19999999999999998,-128.5960266113281,1.78
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,45,480,0,3,21,0.125,1.0,0.9583333333333334,0.2222222222222222,-45.26427154541015,1.06
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,550,472,1,2,29,0.06451612903225806,0.6666666666666666,0.9404761904761905,0.1176470588235294,-439.7651763916016,4.54
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,472,472,1,2,29,0.06451612903225806,0.6666666666666666,0.9404761904761905,0.1176470588235294,-397.0520355224609,3.82
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,167,483,0,3,18,0.14285714285714285,1.0,0.9642857142857143,0.25,-134.01182556152344,2.49
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,543,472,1,2,29,0.06451612903225806,0.6666666666666666,0.9404761904761905,0.1176470588235294,-436.065185546875,4.17
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,210,477,1,2,24,0.07692307692307693,0.6666666666666666,0.9503968253968254,0.13793103448275862,-168.32638549804688,1.94
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,155,485,0,3,16,0.15789473684210525,1.0,0.9682539682539683,0.2727272727272727,-125.3977897644043,2.33
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,142,483,0,3,18,0.14285714285714285,1.0,0.9642857142857143,0.25,-116.93937377929687,2.50
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,272,486,1,2,15,0.11764705882352941,0.6666666666666666,0.9682539682539683,0.2,-213.3550567626953,2.09
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,33,481,0,3,20,0.13043478260869565,1.0,0.9603174603174603,0.23076923076923078,-34.819236755371094,1.14
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,526,467,0,3,34,0.08108108108108109,1.0,0.9325396825396826,0.15,-428.6305328369141,4.50
classic,Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz,541,478,3,0,23,0.0,0.0,0.9484126984126984,0.0,-430.4747619628906,4.38
